Date, Element No, Used interval, SM16 Interval (new), SM17 Interval (new), SM17/SM16 Interval ratio, R (SM16), R (SM17)(exp), R (SM17), Grade, Success, abs RM16, abs RM17 (expected), abs RM17 (predicted), abs R-Metric, sqr R-Metric, Title,
May 01 2022 21:37:02,30,2,4,5,1.13,0.951,0.924,0.924,4,1,0.0486,0.0762,0.0762,-0.0276,-0.0034,capacity??[k??p?s?ti]
May 01 2022 21:37:37,10,2,3,5,1.71,0.957,0.923,0.923,3,1,0.0432,0.0765,0.0765,-0.0334,-0.004,meditation??[?med??te??n]
Jun 27 2022 18:22:00,11,59,2,2,1.16,0.031,0.123,0.123,1,0,0.0307,0.1235,0.1235,-0.0927,-0.0143,medium??[?mi?d??m]
Jun 27 2022 18:22:05,32,59,2,1,0.5,0.027,0.122,0.122,1,0,0.0268,0.1221,0.1221,-0.0953,-0.0142,captive??[?k?pt?v]
Jun 27 2022 18:22:29,30,57,95,87,0.91,0.132,0.813,0.813,3,1,0.8676,0.1872,0.1872,0.6803,0.7176,capacity??[k??p?s?ti]
Jun 27 2022 18:22:41,9,59,2,1,0.5,0.024,0.121,0.121,1,0,0.0236,0.121,0.121,-0.0975,-0.0141,meditate??[?med?te?t]
Jun 27 2022 18:26:07,10,57,89,71,0.8,0.111,0.813,0.842,3,1,0.8892,0.1873,0.1579,0.7313,0.7658,meditation??[?med??te??n]
Jun 27 2022 18:26:23,12,59,2,1,0.5,0.021,0.12,0.12,1,0,0.021,0.1201,0.1201,-0.099,-0.014,elaborate??[??l?b?r?t]
Jun 27 2022 18:26:36,25,59,116,217,1.87,0.032,0.119,0.119,3,1,0.9684,0.8808,0.8808,0.0875,0.1618,bar??[b¨»?(r)]
Jun 27 2022 18:26:44,42,59,118,163,1.38,0.057,0.12,0.12,3,1,0.9431,0.8801,0.8801,0.0631,0.115,cater??[?ke?t?(r)]
Jun 27 2022 18:26:49,33,59,122,127,1.04,0.082,0.122,0.122,3,1,0.9176,0.8775,0.8775,0.0401,0.072,capture??[?k?pt??(r)]
Jun 27 2022 18:26:55,41,59,124,208,1.68,0.108,0.126,0.126,4,1,0.8917,0.8742,0.8742,0.0175,0.031,category??[?k?t?¨À?ri]
Jun 27 2022 18:27:02,34,59,126,173,1.37,0.134,0.13,0.13,4,1,0.8656,0.8699,0.8699,-0.0043,-0.0074,career??[k??r??(r)]
Jun 27 2022 18:27:16,29,59,129,190,1.47,0.16,0.135,0.135,3,1,0.8396,0.8645,0.8645,-0.025,-0.0425,capable??[?ke?p?bl]
Jun 27 2022 18:27:24,36,59,131,211,1.61,0.186,0.142,0.142,3,1,0.8136,0.858,0.858,-0.0444,-0.0743,case??[ke?s]
